id,gender,type_of_clothing,color,season,usage,product_display_name
63,Unisex,Shirts,Blue,Summer,Casual,Light Blue Shirts Unisex
64,Male,Shirts,Brown,Rainy,Casual,Warmth and Whimsy Wardrobe
65,Male,Shirts,Grey,Rainy,Casual,Warmth and Whimsy Wardrobe
66,Male,Shirts,Grey,Summer,Casual,Petite Lucette Kids
67,Male,Shirts,Grey,Summer,Formal,Bobo Choses Duck 
68,Male,Tshirts,White,Rainy,Casual,Black and White Stripes
69,Male,Tshirts,Brown,Rainy,Casual,Cutie Kids Apparel 
70,Male,Tshirts,White,Rainy,Casual,Black and White Stripes
71,Male,Shirts,Blue,Summer,Casual,Dino Tshirts Men
72,Male,Shirts,Blue,Rainy,Formal,Zara Shirts Denim
73,Male,Shirts,Brown,Summer,Casual,Zoo Shirts for Kids
74,Male,Shirts,Brown,Rainy,Formal,Casual Jacket 
75,Male,Shirts,Brown,Rainy,Sports,Sharp Shooter
76,Male,Shirts,Blue,Summer,Ethnic,Blue male batik
77,Male,Shirts,Blue,Rainy,Formal,Formal shirts
78,Male,Tshirts,White,Summer,Casual,plain white t-shirt
79,Male,Tshirts,Blue,Rainy,Casual,Blue rainy clothes
80,Male,Tshirts,Black,Summer,Sports,Men's black sport shirt
81,Male,Tshirts,Black,Rainy,Casual,black plain jacket
82,Male,Shirts,Blue,Summer,Formal,blue light formal shirt
83,Male,Tshirts,Grey,Summer,Sports,Men's grey sport singlet
84,Male,Tshirts,Black,Rainy,Sports,dark blue sport jacket
85,Male,Tshirts,Blue,Rainy,Casual,Long Sleeve blue shirt
86,Male,Shirts,Blue,Summer,Ethnic,blue basic men's batic
87,Male,Tshirts,Black,Rainy,Casual,black plain long sleeve shirt
88,Male,Tshirts,Blue,Rainy,Casual,blue jacket for rainy season
89,Male,Shirts,Black,Summer,Ethnic,black modern batik
90,Male,Tshirts,Black,Summer,Sports,light black singlet for sport
91,Male,Tshirts,Brown,Rainy,Casual,light brown sweater for men
92,Male,Tshirts,Black,Summer,Sports,sport singlet for men
93,Male,Shirts,Black,Summer,Casual,plain black polo shirt
94,Male,Tshirts,Red,Summer,Sports,red tshirt for casual moment
95,Male,Shirts,Red,Summer,Formal,red polo for formal moment
96,Male,Tshirts,Black,Rainy,Casual,Turtleneck tshirt
97,Male,Tshirts,Red,Summer,Sports,pink tshirt for sport with love
98,Male,Shirts,White,Summer,Ethnic,basic white-black batik style
99,Male,Tshirts,Black,Summer,Sports,plain black tshirt for sport or casual
100,Male,Tshirts,Red,Rainy,Casual,red long sleve clothes for rainy season
101,Male,Shirts,Black,Summer,Casual,Levis Men Check Black Shirts
102,Male,Shirts,Black,Summer,Formal,John Miller Men Blue black stripe Black Shirts
103,Male,Shirts,Black,Summer,Formal,United Colors Of Benetton Men Summer Black Shirts
104,Male,Shirts,Black,Summer,Formal,Peter England Men Stripes Black Shirt
105,Male,Shirts,White,Summer,Casual,Flying Machine Men Solid White Shirts
106,Male,Shirts,White,Summer,Formal,Indigo Nation Men Price catch Black White Shirts
107,Male,Shirts,White,Summer,Casual,Wrangler Men Griffith White Shirt
108,Male,Shirts,White,Summer,Formal,Indigo Nation Men Solid White Shirts
109,Male,Shirts,Blue,Summer,Formal,Arrow Men Blue Shirt
110,Male,Shirts,Blue,Summer,Casual,Palm Tree Check Blue Shirt
111,Male,Shirts,Blue,Summer,Formal,Mark Taylor Men Blue Striped Shirt
112,Male,Shirts,Brown,Summer,Casual,Basics Men Brown Slim Fit Shirt
113,Male,Shirts,Brown,Summer,Casual,Denizen Men Check Brown Shirt
114,Male,Shirts,Brown,Summer,Formal,Peter England Men Stripes Brown Shirt
115,Male,Shirts,Grey,Summer,Formal,Arrow Men Grey Check Shirt
116,Male,Shirts,Grey,Summer,Casual,United Colors of Benetton Men Stripes Grey Shirt
117,Male,Shirts,Grey,Summer,Casual,United Colors Of Benetton Men Grey Shirt
118,Male,Shirts,Red,Summer,Formal,Indigo Nation Men Striped Red Shirt
119,Male,Shirts,Red,Summer,Formal,Levis Men Check Red Shirts
120,Male,Shirts,Red,Summer,Formal,Black Coffee Men Red Check Shirt
121,Male,Tshirts,Black,Summer,Sports,Nike Men Solid Black Jerseys
122,Male,Tshirts,Black,Summer,Casual,Nike Men Printed Black Tshirts
123,Male,Tshirts,Black,Summer,Casual,Nike Men As Ad Badge Black T-Shirts
124,Male,Tshirts,Black,Summer,Sports,ADIDAS Men's Pune Warriors Graphic Black T-shirt
125,Male,Tshirts,White,Summer,Sports,Nike Mens Challenger Graphic White T-shirt
126,Male,Tshirts,White,Summer,Casual,Nike Men Printed White Tshirts
127,Male,Tshirts,White,Summer,Casual,Nike Men Manchester United White Tshirts
128,Male,Tshirts,White,Summer,Sports,Nike Mens AS White T-shirt
129,Male,Tshirts,Blue,Summer,Sports,Nike Men's As Icon Blue T-shirt
130,Male,Shirts,Blue,Summer,Casual,Nike Men AS AD Club Pique Polo Navy Blue Tshirts
131,Male,Tshirts,Blue,Rainy,Sports,Nike Mens Challenger Graphic White T-shirt
132,Male,Tshirts,Brown,Summer,Sports,ADIDAS Sky Ball Brown T-shirt
133,Male,Tshirts,Brown,Summer,Casual,Flying Machine Men Walnut Brown Tshirts
134,Male,Tshirts,Brown,Summer,Casual,Doodle Little Monsters Rocking Rust
135,Male,Tshirts,Grey,Summer,Sports,Puma Men's Deccan Chargers It Grows on You Grey T-shirt
136,Male,Tshirts,Grey,Summer,Casual,Nike Men Grey Polo Tshirts
137,Male,Tshirts,Grey,Summer,Casual,Nike Men Ath Dept Grey Tshirts
138,Male,Tshirts,Red,Summer,Sports,Nike Mens Nike Sphere Red T-shirt
139,Male,Tshirts,Red,Summer,Casual,Nike Men Printed Red Tshirts
140,Male,Tshirts,Red,Rainy,Casual,U.S. Polo Assn. Denim Co. Men Red Polo T-Shirt
141,Unisex,Shirts,Black,Summer,Casual,Black Cotton Flannel Checked Regular Fit Shirt
142,Unisex,Shirts,White,Rainy,Casual,White Polo Jacket Unisex
143,Unisex,Shirts,Blue,Summer,Ethnic,Hawaiian Beach Unisex Streetwear Blue Shirt
144,Unisex,Shirts,Red,Summer,Casual,American Retro Polo Shirt
145,Unisex,Shirts,Brown,Summer,Casual,Light Flannel Plaid Long-Sleeve Shirt
146,Unisex,Tshirts,Black,Summer,Casual,Tantra Unisex Printed Black Tshirts
147,Unisex,Tshirts,White,Summer,Casual,Tantra Unisex Printed White Tshirts
148,Unisex,Tshirts,Blue,Summer,Casual,Tantra Unisex Printed Blue Tshirts
149,Unisex,Tshirts,Red,Summer,Casual,Tantra Unisex Printed Red Tshirts
150,Unisex,Tshirts,Brown,Summer,Casual,Tantra Unisex Printed Brown Tshirts
151,Female,Tshirts,Blue,Summer,Sports,Nike Women As Statement Blue T-Shirts
152,Female,Shirts,White,Summer,Sports,Nike Women As Statement White T-Shirts
153,Female,Tshirts,Blue,Summer,Casual,Nike Women's Striped Polo Blue T-shirt
154,Female,Shirts,White,Summer,Sports,Nike Women's White Polo T-shirt
155,Female,Tshirts,White,Summer,Casual,Disney Kids Girl's White Minnie With Pink Lace Kidswear
156,Female,Shirts,White,Summer,Casual,Nike Women White & Red Striped T-shirt
157,Female,Tshirts,Black,Summer,Casual,Nike Women Black T-shirt
158,Female,Tshirts,Blue,Summer,Sports,Puma Women Deccan Chargers Blue T-shirt
159,Female,Tshirts,Blue,Summer,Casual,Gini and Jony Girls Printed Blue T-shirt
160,Female,Tshirts,Red,Summer,Sports,Nike Women Sphere Red T-shirt
161,Female,Tshirts,Blue,Summer,Casual,Doodle Girl's Princess Cute Little Light Blue Kidswear
162,Female,Tshirts,Blue,Summer,Sports,Nike Women's Nike Spher Light Blue T-shirt
163,Female,Tshirts,Black,Summer,Sports,Nike Women's Black Polo T-shirt
164,Female,Tshirts,Black,Summer,Sports,Nike Women's Spher Black T-shirt
165,Female,Tshirts,White,Summer,Sports,Nike Women's Miler White Blue T-shirt
166,Female,Tshirts,Red,Summer,Casual,Disney Kids Girls Red Stripes Mickey Kidswear
167,Female,Tshirts,Blue,Summer,Sports,Nike Women Miler Blue T-shirt
168,Female,Shirts,Blue,Summer,Casual,Wrangler Women Suzan Blue Shirt
169,Female,Shirts,White,Summer,Sports,Nike Women Striped Polo White T-shirt
170,Female,Tshirts,Black,Summer,Casual,Nike Women You Wish Black T-shirt
171,Female,Tshirts,Blue,Summer,Casual,Nike Women You Wish Blue T-shirt
172,Female,Shirts,White,Summer,Formal,Scullers For Her Striped White Shirt
173,Female,Tshirts,White,Summer,Casual,Jockey Women White Round Neck T-Shirt
174,Female,Tshirts,Black,Summer,Casual,Jockey Women Black T-shirt
175,Female,Shirts,White,Summer,Formal,United Colors of Benetton Women White Shirt
176,Female,Tshirts,Blue,Summer,Casual,Nike Women Blue T-shirt
177,Female,Shirts,Black,Summer,Casual,Scullers For Her Women Scarf Shirt Black Tops
178,Female,Shirts,Black,Summer,Casual,Jealous 21 Women Purple Blue Shirt
179,Female,Shirts,White,Summer,Sports,Nike Women's Aqua Blue Polo T-shirt
180,Female,Tshirts,Blue,Summer,Sports,Nike Women's Border Blue T-shirt
181,Female,Tshirts,Blue,Summer,Sports,Nike Women's Line 9 Turquoise Blue T-shirt
182,Female,Tshirts,White,Summer,Sports,Nike Women's Miler Orange White T-shirt
183,Female,Shirts,Red,Summer,Casual,Latin Quarters Women Red Check Shirt
184,Female,Shirts,Grey,Summer,Casual,Elle Women Grey Retro Top
185,Female,Tshirts,Black,Summer,Casual,Nike Women's Tennis Black T-shirt
186,Female,Shirts,White,Rainy,Casual,Femella Women White Printed Shirt
187,Female,Shirts,Grey,Summer,Casual,Femella Women Grey Polo T-Shirt
188,Female,Shirts,Red,Summer,Casual,Wrangler Women Check Multi Colour Shirt
189,Female,Shirts,Blue,Summer,Casual,Wills Lifestyle Women Blue Shirt
190,Female,Shirts,Blue,Summer,Casual,Lee Women Jane Blue Striped Shirt
191,Unisex,Tshirts,White,Summer,Ethnic,White and Green Tshirts Unisex
192,Unisex,Tshirts,White,Summer,Ethnic,White and Blue Tshirts Unisex
193,Unisex,Tshirts,Blue,Rainy,Casual,Blue and Pink Sweater Colorful
194,Unisex,Tshirts,Black,Rainy,Casual,Sweater Unisex
195,Unisex,Tshirts,White,Rainy,Casual,White and Blue Sweater Unisex
196,Unisex,Tshirts,Red,Rainy,Casual,Red Tshirt for Casual Moment
197,Unisex,Tshirts,Red,Rainy,Casual,Red Sweater Unisex
198,Unisex,Tshirts,White,Rainy,Casual,Yellow Sweater Unisex
199,Unisex,Tshirts,Red,Rainy,Casual,Orange Sweater Unisex
200,Unisex,Shirts,Grey,Rainy,Casual,Long-sleeve Polo Unisex
201,Unisex,Tshirts,Blue,Rainy,Ethnic,Black and Blue Ethnic Outer 
202,Unisex,Tshirts,Blue,Rainy,Ethnic,Black and Blue Ethnic Outer 
203,Female,Tshirts,Brown,Summer,Ethnic,Brown Ethnic Outer
204,Male,Tshirts,Blue,Rainy,Ethnic,Blue Ethnic Outer Men
205,Male,Tshirts,Black,Rainy,Ethnic,Black and Denim Ethnic Outer
206,Female,Shirts,Blue,Summer,Ethnic,Blue Shirts Unique Ethnic
207,Female,Tshirts,Blue,Summer,Ethnic,Ethnic Outer Women
208,Unisex,Tshirts,Red,Rainy,Ethnic,Red Ethnic Outer Unisex
209,Male,Tshirts,Blue,Rainy,Ethnic,Denim Ethnic Outer Men
210,Unisex,Tshirts,Brown,Rainy,Ethnic,Ethnic Outer From Sumbawa
211,Male,Tshirts,Grey,Rainy,Ethnic,Ethnic from Indonesia Timur
212,Unisex,Tshirts,White,Summer,Ethnic,Ethnic Outer Modern
213,Female,Tshirts,Black,Summer,Ethnic,Ethnic Modern Women
214,Female,Tshirts,White,Summer,Ethnic,Ethnic Modern Women
215,Female,Tshirts,Black,Rainy,Ethnic,Ethnic Modern Women
216,Female,Shirts,Blue,Rainy,Ethnic,Ethnic Modern Women
217,Unisex,Tshirts,Black,Rainy,Ethnic,Black Ethnic Outer Unisex
218,Male,Tshirts,Red,Rainy,Ethnic,Black and Red Ethnic Outer
219,Unisex,Shirts,Blue,Rainy,Ethnic,Ethnic Coat
220,Female,Tshirts,Red,Rainy,Ethnic,Red Ethnic Jacket
221,Unisex,Shirts,Grey,Rainy,Ethnic,Ethnic Jacket
222,Female,Tshirts,Blue,Rainy,Ethnic,Blue Rainy Outer 
223,Female,Shirts,Red,Rainy,Ethnic,Orange Ethnic Outer
224,Unisex,Shirts,White,Rainy,Ethnic,white and green shirts unisex
225,Unisex,Tshirts,Grey,Rainy,Formal,Outer Formal Edition
226,Female,Shirts,White,Rainy,Formal,Formal Suit Women
227,Female,Shirts,Black,Rainy,Formal,Formal Suit Women
228,Female,Shirts,Blue,Rainy,Formal,Formal Suit Women
229,Female,Tshirts,White,Summer,Ethnic,Ethnic Modern Women
230,Female,Shirts,White,Summer,Ethnic,Ethnic Modern Women
231,Unisex,Shirts,White,Summer,Ethnic,Ethnic Modern Unisex
232,Male,Shirts,Grey,Summer,Ethnic,Batik Formal Edition
233,Female,Shirts,Black,Summer,Formal,Women Black Shirts 
234,Female,Shirts,Blue,Rainy,Ethnic,Denim Shirts
235,Unisex,Shirts,Brown,Rainy,Ethnic,Ethnic Modern Unisex
236,Female,Shirts,Blue,Summer,Ethnic,Ethnic Modern Women
237,Female,Shirts,Brown,Summer,Ethnic,Ethnic Modern Women
238,Female,Shirts,White,Summer,Ethnic,Ethnic Modern Women
239,Male,Shirts,White,Summer,Ethnic,Ethnic Modern Men
240,Male,Shirts,Brown,Summer,Ethnic,Ethnic Modern Men
241,Unisex,Shirts,Blue,Summer,Ethnic,Ethnic Modern Unisex
242,Male,Shirts,Red,Summer,Ethnic,Ethnic Modern Men
243,Unisex,Shirts,Blue,Summer,Ethnic,Ethnic Modern Unisex
244,Male,Shirts,Red,Summer,Ethnic,Gucci Ethnic Modern Men
245,Male,Shirts,Blue,Summer,Ethnic,Ethnic Modern Men
246,Male,Shirts,Brown,Rainy,Formal,Jacket Formal Edition
247,Female,Tshirts,Grey,Rainy,Ethnic,Ethnic Outer Women
248,Female,Shirts,Grey,Summer,Formal,Grey Stripes Shirts Formal Edition
249,Unisex,Tshirts,Grey,Rainy,Formal,Coat Unisex Formal Edition
250,Unisex,Tshirts,Red,Rainy,Ethnic,Jacket Ethnic Indonesia
251,Unisex,Tshirts,Black,Rainy,Ethnic,Jacket Ethnic Indonesia
252,Male,Shirts,White,Rainy,Ethnic,Jacket Ethnic Indonesia
253,Male,Shirts,Grey,Summer,Ethnic,Zara Batik Edition
254,Male,Shirts,Red,Summer,Formal,Red Pattern Shirts for Men
255,Male,Shirts,Brown,Summer,Formal,Formal shirts
256,Unisex,Shirts,Red,Summer,Ethnic,Ethnic Modern Men
257,Female,Tshirts,Grey,Rainy,Formal,Zara Green Suit
258,Unisex,Tshirts,Red,Rainy,Formal,Gucci Coat Formal Edition
259,Unisex,Shirts,Red,Rainy,Formal,Gucci Coat Formal Edition
260,Female,Shirts,White,Rainy,Formal,Gucci Shirts For Work
261,Unisex,Shirts,Brown,Rainy,Formal,Coat Unisex Formal Edition
262,Female,Tshirts,Grey,Rainy,Ethnic,Outer Formal Edition
263,Male,Shirts,Grey,Summer,Ethnic,Ethnic Shirts For Men
264,Male,Shirts,Brown,Summer,Ethnic,Ethnic Shirts For Men
265,Unisex,Shirts,Brown,Summer,Ethnic,Ethnic shirts unisex
266,Female,Shirts,White,Summer,Formal,formal shirts women
267,Female,Shirts,Brown,Rainy,Formal,formal shirts women
268,Female,Shirts,Blue,Rainy,Formal,formal shirts women
269,Unisex,Shirts,Blue,Rainy,Formal,Denim Shirts Women
270,Female,Shirts,White,Rainy,Formal,formal shirts women
271,Female,Tshirts,Brown,Rainy,Formal,Formal Coat Women
272,Unisex,Tshirts,Black,Rainy,Formal,Formal Coat Unisex
273,Unisex,Shirts,Brown,Rainy,Formal,Formal Shirts Unisex
274,Female,Shirts,Black,Rainy,Formal,Formal Shirts Unisex
275,Male,Shirts,Brown,Rainy,Formal,Formal Shirts Men
276,Female,Tshirts,White,Summer,Formal,Vest For Meeting
277,Unisex,Shirts,Grey,Rainy,Formal,Formal Shirts Unisex
278,Female,Shirts,White,Rainy,Formal,Formal Shirts Unisex
279,Female,Shirts,Grey,Summer,Formal,formal shirts women
280,Unisex,Shirts,Brown,Rainy,Formal,Formal Coat Unisex
281,Male,Tshirts,Red,Rainy,Sports,Badger Long Sleeve T-Shirt in Red
282,Male,Tshirts,Grey,Rainy,Sports,Russell Grey Long Sleeve
283,Male,Tshirts,Brown,Rainy,Sports,Men's Military Long Sleeve
284,Male,Tshirts,Black,Rainy,Sports,Quiksilver Men's Long Sleeve Black
285,Male,Tshirts,Blue,Rainy,Sports,Brooklyn Long Sleeve Tshirt Blue
286,Male,Shirts,Red,Summer,Sports,Cricket Sublimation Red
287,Male,Shirts,Grey,Rainy,Sports,Men's Red Long Sleeve Polo
288,Male,Tshirts,Brown,Rainy,Sports,Burton Men's Brown Multipath
289,Male,Shirts,White,Summer,Sports,Harriton M386 Men's White
290,Male,Shirts,Black,Summer,Sports,Harriton M386 Men's Black
291,Unisex,Tshirts,Red,Summer,Sports,New Balance T Unisex Red
292,Unisex,Tshirts,Grey,Rainy,Sports,New Balance Unisex Grey Hoodie
293,Unisex,Tshirts,Brown,Rainy,Sports,Converse Unisex Brown Long Sleeve
294,Unisex,Tshirts,Blue,Summer,Sports,Nike Sportswear Blue Unisex
295,Unisex,Tshirts,White,Summer,Sports,Nike's White Long Tshirt
296,Unisex,Tshirts,Red,Rainy,Sports,Nike Unisex Red Sweatshirt
297,Unisex,Tshirts,Grey,Summer,Sports,Volleyball Tshirt Grey Unisex
298,Unisex,Tshirts,Brown,Summer,Sports,Converse Brown Unisex Tshirt
299,Unisex,Tshirts,Black,Rainy,Sports,Adidas Unisex Black Sweatshirt
300,Unisex,Tshirts,Blue,Rainy,Sports,Adidas Unisex Navy Long Sleeve
301,Female,Tshirts,Red,Rainy,Sports,Nike Womens Red Top
302,Female,Tshirts,Grey,Summer,Sports,T-Shirt Reebok Grey
303,Female,Tshirts,Brown,Summer,Sports,Women Seamless Tshirts 
304,Female,Tshirts,Blue,Rainy,Sports,Nike Womens Navy Top
305,Female,Tshirts,Black,Summer,Sports,Womens Adidas TShirt Black
306,Female,Shirts,Red,Summer,Sports,Pink Golf Short Sleeve Polo
307,Female,Tshirts,Grey,Rainy,Sports,Women's Grey Long Sleeve
308,Female,Tshirts,Blue,Rainy,Sports,Womens Full Zip Running Jacket
309,Female,Shirts,Black,Rainy,Sports,Womens Shirts Long Shirts Black 
310,Female,Shirts,Black,Summer,Sports,Ladies Black Performance Polo
